status,mod_name,author,purpose,source,version_checked_2026-09-02,download_page,dependencies,planned_settings,compatibility_action,map_or_project_compatibility_notes,installed,tested
CORE,Precision Farming,GIANTS Software,Agronomy / soil / tramlines,ModHub,1.5.1.0,https://www.farming-simulator.com/mod.php?filter=console&mod_id=318936&title=fs2025,,Use map PF integration; tune Specialita custom crops,YES,"Add/complete PF cropSensor, fruitRequirements and tramline coverage for Specialita field crops; seed-rate entries already partly present.",unknown,unknown
CORE,Vehicle Years,Thalley,Historical vehicle availability,KingMods / ModHub,1.0.0.6,https://www.kingmods.net/en/fs25/mods/62107/vehicle-years,,Base year database; use per-item year overrides where newer mods are missing,NO,No map edit. Maintain equipment/catalogue.csv and use Historical Start overrides for missing/wrong years.,unknown,unknown
CORE,Vehicle Years System: Historical Start,Stetyner,Historical campaign clock / shop & contracts,KingMods,BETA,https://www.kingmods.net/en/fs25/mods/78270/vehicle-years-system-historical-start,Vehicle Years,Start 1990; March campaign start; advance year each January,NO,No map edit. Savegame/settings work. Verify custom-crop contracts only where period-appropriate machinery exists.,unknown,unknown
CORE,Disable GPS (By Year),JulLeBarge,Historical GPS availability,ModHub,1.0.0.0,https://www.farming-simulator.com/mod.php?mod_id=369793,Vehicle Years,Threshold 1995; decide behaviour for vehicles with no year data,NO,No map edit.,unknown,unknown
CORE,Crop Rotation,Chissel,Rotation-dependent yield,KingMods / ModHub,1.0.1.0,https://www.kingmods.net/en/fs25/mods/74660/crop-rotation,,Use for annual field crops; verify permanent/specialist crops are handled sensibly,TEST,"Verify SESAME/FABABEAN/CHICKPEA/MINT/LAVENDER are detected. Desired semantics: fava+chickpea=legumes, sesame=oilseed; lavender/mint specialist/perennial; GRAPEB excluded as permanent crop. If unsupported, prefer documented mod-side support/upstream config rather than map hacks.",unknown,unknown
CORE,Moisture System,Ozz,Crop moisture / quality / weather / bale rot,KingMods / ModHub,2.0.0.3,https://www.kingmods.net/en/fs25/mods/75883/moisture-system,,Use Mediterranean weather profile; Easy/Normal-style tuning; incompatible with NonStopCrop and RealisticWeather,TEST,No documented map-side crop-profile hook found. Verify each Specialita crop appears in Shift+M moisture impact. Unsupported crops may need upstream profile support; do not fork Moisture internals into the map.,unknown,unknown
CORE,Realistic Harvesting,exekx,Combine throughput / calibration / crop loss,KingMods,1.5.0.0,https://www.kingmods.net/en/fs25/mods/73932/realistic-harvesting,,Start Normal; use Moisture integration; calibrate custom crops as needed,TEST,No map edit expected. Chickpea has explicit support in current releases; non-standard forage has fallback. Test sesame/fava/lavender/mint and save calibration profiles if needed.,unknown,unknown
CORE,DynamicDrive Pro,Papa_Matze,Vehicle traction / braking / weight,KingMods / ModHub,1.0.1.0,https://www.kingmods.net/en/fs25/mods/75940/dynamicdrive-pro,,Default initially,TEST,"No crop/map edit expected. Test Monteriggioni custom groundType mappings (rocktrail, gravel_stone, moss_pebbles, etc.) for sensible surface behaviour.",unknown,unknown
CORE,Realistic Livestock RM,rittermod,Individual animals / genetics / health / breeding,KingMods,1.3.2.0,https://www.kingmods.net/en/fs25/mods/74109/realistic-livestock-rm,,Use Herdsman automation; soften disease if needed,NO,Standard animals work on virtually any map. No map bridge needed unless Specialita adds custom animal types/breeds. Test cow/goat/water-buffalo husbandries.,unknown,unknown
CORE,Manure For All Husbandries,rittermod,Straw bedding and manure for all husbandries,KingMods,1.0.1.0,https://www.kingmods.net/en/fs25/mods/79828/manure-for-all-husbandries,,Use with goat/sheep/pasture husbandries,SAVE,No map edit: mod augments husbandries at load. For the campaign start, place manure heaps in range of the relevant barns/pastures and make loose-straw access practical.,unknown,unknown
CORE,Fresh / Perishable Products,rittermod,Shelf life / cold chain,KingMods,1.0.1.0,https://www.kingmods.net/en/fs25/mods/74264/fresh-perishable-products,,Easy/Normal; use external customDefaults.xml for Specialita products,CONFIG,Create project-maintained modSettings/FS25_Fresh/customDefaults.xml preset for all custom crops and food products. Verify cold-storage placeables classify as Cooled/Frozen and override in Fresh settings where needed. This is external compatibility config, not a map XML edit.,unknown,unknown
CORE,Advanced Damage System,id577,Maintenance / breakdowns / component wear,KingMods,BETA 7,https://www.kingmods.net/en/fs25/mods/69590/advanced-damage-system,,Forgiving tune: 10-15h service interval; long life; warnings on; normal/slower thermal,NO,No map edit expected. Test map workshop/service triggers if we want to rely on them for campaign maintenance.,unknown,unknown
CORE,Real Fuel Consumption,GN Realism,Load/RPM/work-dependent fuel burn,KingMods,1.3.0.1,https://www.kingmods.net/en/fs25/mods/79107/real-fuel-consumption,,Start 1.5x; load/RPM/work modifiers on,NO,No map edit.,unknown,unknown
CORE,Realistic Fuel Costs,tisonK,Dynamic paid fuel,KingMods,1.0.0.0,https://www.kingmods.net/en/fs25/mods/77178/realistic-fuel-costs,,Use with Real Fuel Consumption,TEST,No map edit expected. Test any Monteriggioni custom fuel-station triggers to ensure purchases are charged correctly.,unknown,unknown
CORE,Enhanced Loan System,Chissel,Annuity loans / collateral,ModHub,1.0.0.0,https://www.farming-simulator.com/mod.php?mod_id=314906&title=fs2025,,Use for inherited campaign debt; fixed/variable interest per preference,SAVE,No map edit. Starting €60k debt should be created/converted in savegame setup; not hard-coded into the map.,unknown,unknown
CORE,Hire Purchasing,Ozz,Equipment finance,KingMods / ModHub,1.0.0.9,https://www.kingmods.net/en/fs25/mods/69199/hire-purchasing,,Enable for major capital purchases,NO,No map edit.,unknown,unknown
